Country/Region,01-01-1980,01-01-1981,01-01-1982,01-01-1983,01-01-1984,01-01-1985,01-01-1986,01-01-1987,01-01-1988,01-01-1989,01-01-1990,01-01-1991,01-01-1992,01-01-1993,01-01-1994,01-01-1995,01-01-1996,01-01-1997,01-01-1998,01-01-1999,01-01-2000,01-01-2001,01-01-2002,01-01-2003,01-01-2004,01-01-2005,01-01-2006,01-01-2007,01-01-2008,01-01-2009,01-01-2010,01-01-2011,01-01-2012,01-01-2013,01-01-2014,01-01-2015,01-01-2016,01-01-2017,01-01-2018,01-01-2019,01-01-2020,01-01-2021,01-01-2022,01-01-2023,01-01-2024,01-01-2025,01-01-2026
Burkina Faso,0.23378826,0.3427634,0.2682099,0.20454208,0.39033636,0.45149454,0.50016484,0.42998256,0.46659571,0.82227288,0.55947157,0.61318575,0.74885472,0.73575872,0.98367181,0.80529176,0.7586544,0.87845585,1.06824956,0.7541116,0.4072111,0.5150222,0.6391356,1.04409396,0.8387136,1.18104285,1.3961162,2.08086412,2.16237,3.40851798,4.73367554,5.3060994,6.26892435,3.9372697,3.60048578,3.68144479,5.21084427,7.45221004,9.54349368,10.48582811,9.47821329,9.323769,9.68505416,10.17793635,10.8535562,11.64148713,12.18821814
Burundi,0.05986815,0.15536604,0.03088648,0.1844045,0.11699842,0.14988918,0.20067665,0.12978088,0.1403703,0.20894139,-0.13988907,0.13332596,0.0908206,0.32819548,0.2301885,0.22329188,0.08869766,0.17090187,-0.02487303,0.11685,0.42097383,0.55561548,0.26125374,0.21647176,0.5257652,0.57423135,-0.18535263,-0.8503446,0.13449771,0.47929149,0.21213376,0.05858531,-0.23864482,-0.37168802,0.20361638,0.49322168,0.56224266,0.55048875,0.64342845,0.68193081,0.59488639,0.68370148,0.84600436,0.96462828,1.07018665,1.18603936,1.2873066
Cabo Verde,-0.2217964,-0.25251568,0.12134595,0.13573092,0.13878581,0.15006258,0.08856936,0.11846868,0.0956439,0.11434336,0.10514248,0.0843042,0.14535688,0.1360473,0.21837753,0.20621245,0.2272838,0.22380944,0.24372502,0.34689172,0.2896036,0.31158825,0.35108028,0.30924192,0.41719428,0.6465684,0.67136624,0.93075522,0.95618466,0.7966512,0.9875688,0.92944917,0.72324,0.79313676,0.83179638,1.11324356,1.11374786,1.08601252,1.19605668,1.52703095,0.81273017,1.06550172,1.40922588,1.62406125,1.84887516,2.03143592,2.07152172
Cambodia,0,0,0,0,0,0,0,0.01906454,0.028908,0.0701077,0.28974664,0.46756565,0.69732828,0.65875596,0.8733828,0.82976226,0.69691806,1.56814112,0.64407945,1.41382712,1.94053844,2.56665402,2.77690314,3.1998237,3.06669728,3.75385214,5.70942455,5.77082952,3.85479464,3.70898115,2.99311224,3.44292124,4.19261088,5.28436908,6.58677852,7.21328972,8.24340834,9.4791123,7.92605815,6.0824652,6.98917455,3.9219856,7.51434964,13.50888574,15.48478705,18.09412264,19.84049334
Cameroon,1.7391626,2.51864,2.53593389,3.44903871,4.24460164,3.36305776,3.81037423,3.00276,2.86377664,2.829834,2.88152796,2.870517,2.60832026,2.82749649,3.744795,4.3726839,4.27131752,4.3303722,4.73743504,5.11517558,6.21557982,5.79157354,5.8517802,6.63045966,8.90694661,7.21684268,8.6141292,6.52499232,12.56534344,13.512081,13.91865242,14.62326272,15.0902595,16.4153927,18.300925,18.1465192,20.53150671,22.23541944,24.3707255,25.3528055,21.19295412,24.533248,27.61118904,30.85094295,35.2733322,40.16846989,45.5475867
Canada,58.39521712,69.13578528,68.69118642,69.55608328,80.73478309,84.5573472,82.54997784,89.6211558,104.4890793,106.8029209,100.9188593,89.2304094,87.12411136,90.74305364,113.4019746,128.7295802,138.8519402,151.373691,157.6574182,178.0674099,212.5841649,208.9520711,214.5274965,224.8098856,260.2532652,286.6691149,309.0119854,319.9294422,322.6208135,248.1973065,270.6419996,306.7364047,313.2474302,338.2704122,365.6412375,324.1791707,330.1890745,368.6618754,388.7726178,404.5860209,373.0473082,451.9417862,485.4750732,500.1116486,524.6541023,544.2771711,563.5936992
Central African Republic,-0.0285988,0.0645159,-0.09417408,-0.01258928,0.00775099,0.14831709,0.2104002,0.11327233,0.1299003,0.1788145,0.1710681,0.16256256,-0.00420992,0.09082539,0.2220999,0.16767956,0.0604095,0.12033164,0.13204392,0.27405581,0.24543706,0.20201889,0.23518944,0.12659614,0.14682303,0.09870643,0.2351605,0.15815771,0.1043392,0.16182128,0.17745126,0.21394975,0.43541434,0.1834344,0.10297632,0.15940288,0.3184219,0.2390311,0.3765578,0.455345,0.50456115,0.44919835,0.55060958,0.63589689,0.72964242,0.82576662,0.90705588
Chad,0.185163,0.0700068,0.05729451,0.07711836,0.0873464,0.02187432,-0.08532252,0.0224598,0.162927,-0.06566904,0.01473871,0.0748503,-0.02830487,-0.50774289,0.539543,0.28301735,0.62757765,0.53472384,0.3855595,0.3404703,0.5937216,0.691771,-1.67935196,1.20185663,1.50598029,3.38591228,4.32545698,5.21833284,4.57560199,4.15275453,5.63082315,5.02893076,5.23664624,3.79288224,4.93768484,3.37089375,1.4953587,3.27573724,4.41466536,4.87035477,4.3940151,5.09399917,5.36780547,5.22184208,5.65318656,7.22795647,7.24397742
Chile,4.78831392,3.542922,0.60576201,1.70298175,1.05071152,3.8459927,5.50410624,9.90400596,13.05206603,21.5975079,16.66811924,19.57251241,19.88939597,23.34067808,23.16288522,31.74176544,32.69821678,35.01259272,35.52212224,33.85829856,36.3038954,38.41306418,41.1356753,40.87972008,48.81177862,56.16822978,68.06389203,72.57207168,74.77924439,68.5126512,80.3815671,81.2765128,82.06608576,82.41384004,85.90788018,86.97496828,84.02131584,82.70310246,84.20080971,91.64441019,96.40325604,100.2387326,100.8413266,105.42424,111.8589901,117.2140362,123.0521041
China,99.01746426,111.8674928,141.7801021,163.5006808,194.993682,222.6705525,256.6508268,303.1609906,347.8042468,368.6139199,428.6555384,485.2000418,559.3896448,717.2658015,850.1491699,931.5687468,1021.827344,1091.540627,1146.798314,1195.557658,1296.968649,1500.07546,1737.429267,2131.022729,2593.626629,3013.06591,3670.061821,4482.51308,5135.994146,5508.743601,6257.231299,6709.325857,7373.151581,7760.39177,8231.388285,8183.830245,8314.029086,8869.366783,9559.281465,10275.19901,11025.78903,12055.25586,12879.41437,13722.21895,14521.14165,15297.33337,16069.15581
